epoch,train_loss,validation_loss,validation_accuracy,validation_macro_f1
1,1.417,1.3818688,0.16091954,0.13399181
2,1.3646,1.3519017,0.4137931,0.27525953
3,1.3507,1.3285968,0.47126437,0.20966387
4,1.3043,1.3124193,0.44827586,0.17322581
5,1.2546,1.3001332,0.43678161,0.152
6,1.2308,1.2922792,0.43678161,0.152
7,1.2354,1.2850082,0.43678161,0.152
8,1.1985,1.2786515,0.43678161,0.152
9,1.1822,1.2745514,0.43678161,0.152
10,1.2138,1.2710021,0.43678161,0.152
11,1.1782,1.2681876,0.43678161,0.152
12,1.1837,1.2655493,0.43678161,0.152
13,1.1554,1.2631379,0.43678161,0.152
14,1.1804,1.2613381,0.43678161,0.152
15,1.1293,1.2586447,0.43678161,0.152
16,1.2027,1.2575977,0.43678161,0.152
17,1.1298,1.2570484,0.43678161,0.152
18,1.2022,1.2560021,0.43678161,0.152
19,1.1547,1.2538688,0.43678161,0.152
20,1.2139,1.2524736,0.43678161,0.152
21,1.1012,1.2516713,0.43678161,0.152
22,1.1336,1.2503231,0.43678161,0.152
23,1.0962,1.2490766,0.43678161,0.152
24,1.1419,1.2476195,0.43678161,0.152
25,1.0893,1.2464219,0.43678161,0.152
26,1.17,1.2453541,0.43678161,0.152
27,1.1187,1.2446285,0.43678161,0.152
28,1.0859,1.2441502,0.43678161,0.152
29,1.0742,1.2434317,0.43678161,0.152
30,1.0889,1.2429656,0.43678161,0.152
31,1.0764,1.2427161,0.43678161,0.152
32,1.1117,1.2420001,0.43678161,0.152
33,1.0677,1.2414241,0.43678161,0.152
34,1.0938,1.240894,0.43678161,0.152
35,1.0874,1.2404546,0.43678161,0.152
36,1.0612,1.2400292,0.43678161,0.152
37,1.0576,1.2396287,0.43678161,0.152
38,1.0947,1.2389808,0.43678161,0.152
39,1.1174,1.2387724,0.43678161,0.152
40,1.045,1.2385184,0.43678161,0.152
41,1.0621,1.2384715,0.43678161,0.152
42,1.0657,1.2384331,0.43678161,0.152
